ds,yhat,yhat_lower,yhat_upper
2014-01-31,14790.550983830712,5900.720797151176,24124.08931694079
2014-02-28,5778.650833160926,-3421.831952422741,14923.786660669935
2014-03-31,41875.53924751741,32415.857663943683,51570.45192135654
2014-04-30,25662.621286899812,16719.516801852893,35335.483547335934
2014-05-31,25711.964323242508,15904.802085724032,34676.59431714055
2014-06-30,26711.789135277228,17981.46832555066,35721.08697755667
2014-07-31,26438.194265745096,17612.980266761737,35798.36473674497
2014-08-31,30856.688534625035,21438.29613430316,39807.54994226235
2014-09-30,67620.93155921253,58032.48133220343,76774.61770390936
2014-10-31,36077.50434370204,27139.232541151447,45184.25378828693
2014-11-30,78301.38683015284,69703.8842536403,88006.71939100117
2014-12-31,69991.51876150677,60469.61703069506,78950.90570029765
2015-01-31,18738.336887903475,8353.206724127396,27629.39485820243
2015-02-28,13880.831822697997,4078.070583901542,23391.786862123317
2015-03-31,49598.83133751666,40744.45936963952,59454.85450365081
2015-04-30,34575.92268679369,25112.281247870596,43513.91027760535
2015-05-31,26387.657495681487,17267.109031340697,35972.18451249756
2015-06-30,31085.988087829683,22560.719485091646,39996.9757892177
2015-07-31,33255.78933520538,24756.658796981064,42644.39235090942
2015-08-31,40664.3971055771,31008.83373426204,51265.135083912224
2015-09-30,76491.8894551633,67441.41180568091,85891.3293128806
2015-10-31,35984.306772657976,26256.975101405387,45215.12528097662
2015-11-30,86921.24355065028,76293.35746605316,95829.79037115593
2015-12-31,75920.55148089194,66568.17410619961,85739.03905142433
2016-01-31,23165.28892995374,14302.306327214608,32335.20346417129
2016-02-29,14902.190721397736,5489.163118461107,23590.23531438896
2016-03-31,51724.015500930014,42212.57852403058,60751.407674338036
2016-04-30,33016.193230299934,23846.91055882392,42193.38129968394
2016-05-31,49868.27164266157,41245.75779631777,59637.41737308379
2016-06-30,44187.75232904256,34907.62660364383,53956.554858688476
2016-07-31,39287.7219436326,30015.986628754465,48494.575355982815
2016-08-31,37700.415407094835,28763.37603767518,47135.303070025075
2016-09-30,75996.54011825382,66440.5275908814,85493.14829190433
2016-10-31,62955.958137139154,53298.505912635825,72605.78950367405
2016-11-30,88181.8499533379,78669.09962550587,96979.5206145502
2016-12-31,85608.06710444672,76338.13678169652,94892.75397270735
2017-01-31,38211.25042036768,28722.58906928919,47453.441329560024
2017-02-28,25246.802264624657,16473.306523154366,34411.82561487408
2017-03-31,61846.21111498451,52776.37410236608,71147.45976585394
2017-04-30,44535.898988426874,35442.37062776258,53829.534433642366
2017-05-31,53069.88302785263,43870.4113609804,62362.22742100014
2017-06-30,50739.9307952165,41260.21141161248,59702.417754729286
2017-07-31,48243.23963381034,39701.035440383064,57329.59820016273
2017-08-31,49797.260460952704,40007.47606647644,59203.85849254666
2017-09-30,87518.48039488457,78670.74978117378,97789.93219896292
2017-10-31,65271.21415177585,54934.47236076887,75126.88759799823
2017-11-30,99056.46948225854,90405.32154271632,109100.25268180242
2017-12-31,93756.91395085139,84774.48576860894,103567.90741606853
2018-01-31,44491.10602062794,35494.84602137061,53752.67607363937
2018-02-28,35661.33917706104,26279.0429023219,44739.39823581423
2018-03-31,71959.87517904694,62612.98024585254,80842.1399811338
2018-04-30,55942.10004520221,46287.68048991261,65564.89945266867
2018-05-31,56193.090668447396,46852.598169348275,65999.17997271224
2018-06-30,57388.05830420092,47582.881069170806,66482.36339491769
2018-07-31,57316.11101919529,48253.77855345638,66515.55959102504
2018-08-31,61936.25287254499,53078.61547004571,71156.88618387311
2018-09-30,98895.63872203283,90006.98789967077,108300.86594396245
2018-10-31,67553.85909235776,57899.07867395902,76527.10226440484
2018-11-30,109972.88439975587,100947.71711229267,118881.35795398527
2018-12-31,101864.66391479045,92596.67822207694,111054.75520319659
